Metal/Alloy Name,Corrosion Rate (mpy),Corrosion Density Current (µA/cm²),Polarization Resistance (ohms),Media,Corrosion Resistance
"Alloy 60 (Cu-67%, Zn-12%)",0.155,4.98,9804.82,Seawater,Fair
"Composite 61 (Al-83%, Mg-33%)",0.168,0.92,6084.8,Sulfide Solution,Fair
"Composite 62 (Al-97%, Mg-23%)",0.426,1.01,6370.08,Seawater,Poor
"Metal 63 (Fe-93%, C-5%)",0.077,6.06,5552.61,Sulfide Solution,Excellent
"Composite 64 (Al-84%, Mg-44%)",0.357,5.58,919.11,Seawater,Poor
"Alloy 65 (Cu-81%, Zn-27%)",0.281,2.21,7266.71,Acidic Solution,Fair
"Metal 66 (Fe-72%, C-1%)",0.155,9.47,5478.99,Oil & Gas Environment,Fair
"Composite 67 (Al-84%, Mg-37%)",0.216,7.83,4514.6,Oil & Gas Environment,Fair
"Composite 68 (Al-96%, Mg-14%)",0.136,1.22,9105.61,Atmospheric,Excellent
"Metal 69 (Fe-72%, C-1%)",0.31,9.32,2986.61,Oil & Gas Environment,Poor
"Alloy 70 (Cu-64%, Zn-26%)",0.05,9.75,5240.79,Alkaline Solution,Excellent
"Composite 71 (Al-63%, Mg-39%)",0.013,9.96,6979.44,Sulfide Solution,Excellent
"Metal 72 (Fe-96%, C-9%)",0.318,0.65,7966.75,Atmospheric,Poor
"Composite 73 (Al-64%, Mg-15%)",0.105,7.4,4598.87,Alkaline Solution,Excellent
"Composite 74 (Al-75%, Mg-42%)",0.045,5.5,8422.49,Alkaline Solution,Excellent
"Alloy 75 (Cu-72%, Zn-32%)",0.204,7.09,7691.49,Seawater,Fair
"Composite 76 (Al-88%, Mg-49%)",0.035,9.69,671.7,Oil & Gas Environment,Excellent
"Composite 77 (Al-81%, Mg-4%)",0.444,6.91,468.15,Acidic Solution,Poor
"Metal 78 (Fe-74%, C-23%)",0.024,8.39,6211.85,Acidic Solution,Excellent
"Composite 79 (Al-88%, Mg-45%)",0.294,8.68,3480.66,Atmospheric,Fair
"Alloy 80 (Cu-74%, Zn-29%)",0.225,8.4,2099.22,Acidic Solution,Fair
"Metal 81 (Fe-73%, C-13%)",0.339,4.32,5800.7,Sulfide Solution,Poor
"Composite 82 (Al-81%, Mg-7%)",0.171,2.3,3422.22,Acidic Solution,Fair
"Composite 83 (Al-71%, Mg-28%)",0.086,4.03,5377.26,Atmospheric,Excellent
"Metal 84 (Fe-71%, C-10%)",0.491,8.93,4606.59,Acidic Solution,Poor
"Alloy 85 (Cu-65%, Zn-28%)",0.421,1.55,5851.81,Sulfide Solution,Poor
"Composite 86 (Al-77%, Mg-44%)",0.432,5.18,4009,Seawater,Poor
"Metal 87 (Fe-81%, C-20%)",0.133,2.41,6979.7,Atmospheric,Excellent
"Composite 88 (Al-79%, Mg-11%)",0.029,5.85,1808.87,Seawater,Excellent
"Composite 89 (Al-77%, Mg-25%)",0.159,8.65,6968.05,Seawater,Fair
"Alloy 90 (Cu-98%, Zn-33%)",0.273,8.82,4122.5,Seawater,Fair
"Composite 91 (Al-50%, Mg-27%)",0.17,2.44,8744.43,Alkaline Solution,Fair
"Composite 92 (Al-62%, Mg-41%)",0.416,9.09,5157.21,Oil & Gas Environment,Poor
"Metal 93 (Fe-72%, C-7%)",0.143,5.96,9731.37,Alkaline Solution,Excellent
"Composite 94 (Al-55%, Mg-8%)",0.483,3.57,6023.33,Oil & Gas Environment,Poor
"Alloy 95 (Cu-86%, Zn-9%)",0.234,7.11,2246.25,Seawater,Fair
"Metal 96 (Fe-74%, C-1%)",0.423,4.87,8219.69,Atmospheric,Poor
"Composite 97 (Al-91%, Mg-44%)",0.105,3.84,3457.38,Oil & Gas Environment,Excellent
"Composite 98 (Al-73%, Mg-15%)",0.212,7.08,3482.72,Sulfide Solution,Fair
"Metal 99 (Fe-96%, C-22%)",0.353,2.56,327.73,Sulfide Solution,Poor
"Alloy 100 (Cu-91%, Zn-32%)",0.078,3.37,5491.67,Acidic Solution,Excellent
"Composite 101 (Al-73%, Mg-41%)",0.075,4.4,5348.89,Oil & Gas Environment,Excellent
"Metal 102 (Fe-89%, C-17%)",0.485,2.61,3566.35,Atmospheric,Poor
"Composite 103 (Al-98%, Mg-12%)",0.36,4.11,8943.23,Alkaline Solution,Poor
"Composite 104 (Al-88%, Mg-2%)",0.03,5.76,1296.2,Seawater,Excellent
"Alloy 105 (Cu-62%, Zn-37%)",0.205,7.44,3307.69,Acidic Solution,Fair
"Composite 106 (Al-98%, Mg-17%)",0.222,7.7,3222.61,Sulfide Solution,Fair
"Composite 107 (Al-98%, Mg-2%)",0.375,8.25,931.98,Alkaline Solution,Poor
"Metal 108 (Fe-71%, C-28%)",0.133,7.47,4816.64,Alkaline Solution,Excellent
"Composite 109 (Al-72%, Mg-37%)",0.1,6.84,6880.97,Seawater,Excellent
"Alloy 110 (Cu-91%, Zn-33%)",0.05,2.45,5121.45,Oil & Gas Environment,Excellent
"Metal 111 (Fe-70%, C-19%)",0.22,4.06,1578.21,Sulfide Solution,Fair
"Composite 112 (Al-51%, Mg-44%)",0.347,4.83,3779.09,Atmospheric,Poor
"Composite 113 (Al-75%, Mg-32%)",0.039,0.92,35.92,Alkaline Solution,Excellent
"Metal 114 (Fe-75%, C-23%)",0.458,5.33,8684.33,Seawater,Poor
"Alloy 115 (Cu-63%, Zn-11%)",0.227,4.42,854.32,Atmospheric,Fair
"Composite 116 (Al-66%, Mg-38%)",0.127,8.04,5976.81,Oil & Gas Environment,Excellent
"Metal 117 (Fe-93%, C-5%)",0.056,9.78,9862.71,Sulfide Solution,Excellent
"Composite 118 (Al-83%, Mg-6%)",0.1,5.6,5370.54,Oil & Gas Environment,Excellent
"Composite 119 (Al-71%, Mg-11%)",0.468,3.29,9241.18,Alkaline Solution,Poor
"Alloy 120 (Cu-75%, Zn-33%)",0.323,0.53,2368.8,Atmospheric,Poor
"Composite 121 (Al-58%, Mg-6%)",0.263,9.25,7601.95,Atmospheric,Fair
"Composite 122 (Al-65%, Mg-29%)",0.332,9.2,5317.34,Atmospheric,Poor
"Metal 123 (Fe-72%, C-20%)",0.223,2.6,7207.96,Alkaline Solution,Fair
"Composite 124 (Al-85%, Mg-19%)",0.368,6.98,632.79,Alkaline Solution,Poor
"Alloy 125 (Cu-85%, Zn-3%)",0.033,0.85,1485.91,Oil & Gas Environment,Excellent
"Metal 126 (Fe-88%, C-20%)",0.287,1.75,1339.84,Acidic Solution,Fair
"Composite 127 (Al-81%, Mg-7%)",0.088,2.25,6874.78,Oil & Gas Environment,Excellent
"Composite 128 (Al-90%, Mg-33%)",0.069,3.02,8445.96,Sulfide Solution,Excellent
"Metal 129 (Fe-77%, C-7%)",0.178,9.96,7498.67,Seawater,Fair
"Alloy 130 (Cu-77%, Zn-1%)",0.055,7,314.42,Atmospheric,Excellent
"Composite 131 (Al-60%, Mg-28%)",0.056,3.9,8673.48,Acidic Solution,Excellent
"Metal 132 (Fe-94%, C-25%)",0.163,7.4,3547.93,Seawater,Fair
"Composite 133 (Al-72%, Mg-31%)",0.49,9.16,3977.67,Acidic Solution,Poor
"Composite 134 (Al-79%, Mg-42%)",0.096,9.59,1057.64,Oil & Gas Environment,Excellent
"Alloy 135 (Cu-94%, Zn-7%)",0.018,0.67,7376.68,Alkaline Solution,Excellent
"Composite 136 (Al-65%, Mg-26%)",0.384,4.01,1831.02,Atmospheric,Poor
"Composite 137 (Al-97%, Mg-49%)",0.405,1.16,5644.01,Oil & Gas Environment,Poor
"Metal 138 (Fe-71%, C-1%)",0.18,3.42,8408.69,Seawater,Fair
"Composite 139 (Al-97%, Mg-12%)",0.238,1.78,901.15,Seawater,Fair
"Alloy 140 (Cu-64%, Zn-37%)",0.328,6.5,5358,Seawater,Poor
"Metal 141 (Fe-96%, C-23%)",0.034,3.94,2339.83,Seawater,Excellent
"Composite 142 (Al-58%, Mg-41%)",0.475,2.37,3435.84,Seawater,Poor
"Composite 143 (Al-84%, Mg-19%)",0.444,2.73,4744.96,Acidic Solution,Poor
"Metal 144 (Fe-85%, C-16%)",0.138,3.67,3557.49,Oil & Gas Environment,Excellent
"Alloy 145 (Cu-62%, Zn-20%)",0.017,2.67,6491.74,Atmospheric,Excellent
"Composite 146 (Al-73%, Mg-33%)",0.467,4.59,4801.03,Alkaline Solution,Poor
"Metal 147 (Fe-93%, C-20%)",0.256,0.42,5846.15,Alkaline Solution,Fair
"Composite 148 (Al-60%, Mg-49%)",0.274,2.87,7370.86,Oil & Gas Environment,Fair
"Composite 149 (Al-57%, Mg-36%)",0.345,4.17,5581.85,Oil & Gas Environment,Poor
"Alloy 150 (Cu-97%, Zn-20%)",0.312,6.07,5869.49,Alkaline Solution,Poor
